"Tabela 7268 - Pessoas de 14 anos ou mais de idade por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;"2017";;;"2018";;;"2019";;;"2022";;;"2023"
"Unidade da Federação";"Nível de instrução";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda";"Total";"Branca";"Preta ou parda"
"Rio Grande do Norte";"Total";"2648";"951";"1691";"2666";"933";"1729";"2687";"970";"1707";"2697";"965";"1722";"2774";"988";"1777";"2787";"994";"1788"
"Rio Grande do Norte";"Sem instrução e fundamental incompleto ou equivalente";"1179";"347";"830";"1195";"355";"838";"1178";"357";"817";"1156";"340";"811";"1070";"312";"756";"1082";"317";"762"
"Rio Grande do Norte";"Fundamental completo e médio incompleto ou equivalente";"434";"153";"279";"435";"145";"290";"406";"139";"266";"430";"145";"284";"486";"146";"339";"448";"142";"305"
"Rio Grande do Norte";"Médio completo ou equivalente e superior incompleto";"778";"324";"453";"779";"307";"471";"812";"320";"489";"773";"309";"461";"883";"360";"521";"910";"356";"553"
"Rio Grande do Norte";"Superior completo";"258";"127";"129";"256";"126";"130";"291";"154";"135";"338";"171";"166";"334";"171";"162";"347";"179";"168"
"Paraíba";"Total";"3068";"1028";"2030";"3110";"983";"2120";"3145";"996";"2133";"3172";"993";"2159";"3239";"993";"2216";"3248";"1046";"2172"
"Paraíba";"Sem instrução e fundamental incompleto ou equivalente";"1517";"437";"1076";"1487";"398";"1085";"1501";"406";"1087";"1504";"412";"1087";"1432";"385";"1035";"1380";"371";"998"
"Paraíba";"Fundamental completo e médio incompleto ou equivalente";"474";"146";"328";"478";"145";"332";"457";"147";"309";"464";"143";"318";"530";"140";"385";"517";"155";"355"
"Paraíba";"Médio completo ou equivalente e superior incompleto";"805";"300";"501";"827";"293";"532";"874";"303";"566";"856";"285";"564";"939";"306";"623";"984";"338";"638"
"Paraíba";"Superior completo";"272";"146";"126";"317";"147";"170";"313";"140";"171";"347";"153";"190";"339";"162";"173";"368";"181";"181"
"Pernambuco";"Total";"7253";"2165";"5057";"7321";"2088";"5184";"7377";"2262";"5028";"7400";"2250";"5077";"7508";"2400";"5025";"7632";"2541";"4998"
"Pernambuco";"Sem instrução e fundamental incompleto ou equivalente";"3213";"787";"2418";"3197";"748";"2432";"3020";"768";"2222";"2936";"743";"2167";"2887";"798";"2066";"2794";"814";"1951"
"Pernambuco";"Fundamental completo e médio incompleto ou equivalente";"1170";"324";"840";"1178";"296";"874";"1132";"317";"803";"1180";"296";"869";"1173";"340";"821";"1188";"341";"831"
"Pernambuco";"Médio completo ou equivalente e superior incompleto";"2174";"700";"1463";"2261";"682";"1561";"2417";"779";"1604";"2452";"801";"1631";"2647";"883";"1729";"2742";"949";"1751"
"Pernambuco";"Superior completo";"696";"354";"337";"685";"362";"318";"808";"397";"399";"832";"411";"410";"801";"380";"410";"908";"437";"466"
"Alagoas";"Total";"2431";"553";"1866";"2471";"542";"1910";"2498";"562";"1907";"2495";"584";"1881";"2507";"648";"1818";"2507";"636";"1840"
"Alagoas";"Sem instrução e fundamental incompleto ou equivalente";"1271";"240";"1026";"1271";"244";"1018";"1236";"217";"1002";"1196";"229";"952";"1067";"238";"817";"1018";"214";"791"
"Alagoas";"Fundamental completo e médio incompleto ou equivalente";"409";"88";"319";"405";"80";"320";"407";"81";"321";"422";"88";"329";"431";"103";"321";"439";"102";"329"
"Alagoas";"Médio completo ou equivalente e superior incompleto";"594";"157";"434";"635";"152";"478";"658";"175";"477";"643";"167";"468";"751";"209";"526";"790";"218";"564"
"Alagoas";"Superior completo";"157";"69";"87";"160";"66";"93";"197";"89";"106";"234";"100";"132";"257";"98";"154";"260";"102";"156"
"Sergipe";"Total";"1714";"361";"1337";"1734";"342";"1380";"1724";"350";"1351";"1762";"382";"1367";"1803";"435";"1357";"1792";"412";"1359"
"Sergipe";"Sem instrução e fundamental incompleto ou equivalente";"818";"156";"659";"818";"142";"672";"816";"151";"655";"816";"159";"651";"754";"152";"598";"710";"152";"552"
"Sergipe";"Fundamental completo e médio incompleto ou equivalente";"263";"54";"207";"281";"49";"231";"271";"45";"221";"259";"49";"207";"310";"65";"242";"301";"68";"230"
"Sergipe";"Médio completo ou equivalente e superior incompleto";"472";"100";"367";"483";"101";"377";"476";"99";"371";"517";"115";"398";"556";"155";"398";"564";"125";"430"
"Sergipe";"Superior completo";"160";"51";"104";"151";"50";"99";"161";"55";"104";"171";"59";"111";"183";"63";"119";"216";"67";"147"
"Bahia";"Total";"11256";"2056";"9122";"11440";"2073";"9296";"11515";"2002";"9429";"11641";"1993";"9507";"11835";"2128";"9567";"11935";"2241";"9537"
"Bahia";"Sem instrução e fundamental incompleto ou equivalente";"5302";"896";"4363";"5369";"861";"4472";"5325";"817";"4462";"5245";"803";"4375";"4803";"840";"3911";"4807";"842";"3896"
"Bahia";"Fundamental completo e médio incompleto ou equivalente";"1779";"287";"1482";"1837";"289";"1537";"1805";"274";"1515";"1816";"270";"1522";"1925";"330";"1574";"1853";"302";"1524"
"Bahia";"Médio completo ou equivalente e superior incompleto";"3372";"619";"2733";"3377";"637";"2721";"3478";"626";"2837";"3564";"631";"2898";"4003";"689";"3263";"4130";"756";"3322"
