estado;instrucao;categoria_ano;populacao;ano;raca_cor
Pará;Total;total_2018;6243.0;2018;total
Pará;Total;branca_2019;1054.0;2019;branca
Pará;Total;preta_parda_2019;5166.0;2019;preta_parda
Pará;Total;total_2019;6290.0;2019;total
Pará;Total;branca_2022;1196.0;2022;branca
Pará;Total;preta_parda_2022;5296.0;2022;preta_parda
Pará;Total;total_2022;6557.0;2022;total
Pará;Total;branca_2023;1175.0;2023;branca
Pará;Total;preta_parda_2023;5450.0;2023;preta_parda
Pará;Total;total_2023;6672.0;2023;total
Pernambuco;Total;branca_2016;2165.0;2016;branca
Pernambuco;Total;preta_parda_2016;5057.0;2016;preta_parda
Pernambuco;Total;total_2016;7253.0;2016;total
Pernambuco;Total;branca_2017;2088.0;2017;branca
Pernambuco;Total;preta_parda_2017;5184.0;2017;preta_parda
Pernambuco;Total;total_2017;7321.0;2017;total
Pernambuco;Total;branca_2018;2262.0;2018;branca
Pernambuco;Total;preta_parda_2018;5028.0;2018;preta_parda
Pernambuco;Total;total_2018;7377.0;2018;total
Pernambuco;Total;branca_2019;2250.0;2019;branca
Pernambuco;Total;preta_parda_2019;5077.0;2019;preta_parda
Pernambuco;Total;total_2019;7400.0;2019;total
Pernambuco;Total;branca_2022;2400.0;2022;branca
Pernambuco;Total;preta_parda_2022;5025.0;2022;preta_parda
Pernambuco;Total;total_2022;7508.0;2022;total
Pernambuco;Total;branca_2023;2541.0;2023;branca
Pernambuco;Total;preta_parda_2023;4998.0;2023;preta_parda
Pernambuco;Total;total_2023;7632.0;2023;total
Piauí;Total;branca_2016;487.0;2016;branca
Piauí;Total;preta_parda_2016;2049.0;2016;preta_parda
Piauí;Total;total_2016;2540.0;2016;total
Piauí;Total;branca_2017;515.0;2017;branca
Piauí;Total;preta_parda_2017;2043.0;2017;preta_parda
Piauí;Total;total_2017;2560.0;2017;total
Piauí;Total;branca_2018;455.0;2018;branca
Piauí;Total;preta_parda_2018;2111.0;2018;preta_parda
Piauí;Total;total_2018;2577.0;2018;total
Piauí;Total;branca_2019;447.0;2019;branca
Piauí;Total;preta_parda_2019;2130.0;2019;preta_parda
Piauí;Total;total_2019;2587.0;2019;total
Piauí;Total;branca_2022;555.0;2022;branca
Piauí;Total;preta_parda_2022;2127.0;2022;preta_parda
Piauí;Total;total_2022;2687.0;2022;total
Piauí;Total;branca_2023;541.0;2023;branca
Piauí;Total;preta_parda_2023;2145.0;2023;preta_parda
Piauí;Total;total_2023;2697.0;2023;total
Rio Grande do Norte;Total;branca_2016;951.0;2016;branca
Rio Grande do Norte;Total;preta_parda_2016;1691.0;2016;preta_parda
Rio Grande do Norte;Total;total_2016;2648.0;2016;total
Rio Grande do Norte;Total;branca_2017;933.0;2017;branca
Rio Grande do Norte;Total;preta_parda_2017;1729.0;2017;preta_parda
Rio Grande do Norte;Total;total_2017;2666.0;2017;total
Rio Grande do Norte;Total;branca_2018;970.0;2018;branca
Rio Grande do Norte;Total;preta_parda_2018;1707.0;2018;preta_parda
Rio Grande do Norte;Total;total_2018;2687.0;2018;total
Rio Grande do Norte;Total;branca_2019;965.0;2019;branca
Rio Grande do Norte;Total;preta_parda_2019;1722.0;2019;preta_parda
Rio Grande do Norte;Total;total_2019;2697.0;2019;total
Rio Grande do Norte;Total;branca_2022;988.0;2022;branca
Rio Grande do Norte;Total;preta_parda_2022;1777.0;2022;preta_parda
Rio Grande do Norte;Total;total_2022;2774.0;2022;total
Rio Grande do Norte;Total;branca_2023;994.0;2023;branca
Rio Grande do Norte;Total;preta_parda_2023;1788.0;2023;preta_parda
Rio Grande do Norte;Total;total_2023;2787.0;2023;total
Rio Grande do Sul;Total;branca_2016;7488.0;2016;branca
Rio Grande do Sul;Total;preta_parda_2016;1585.0;2016;preta_parda
Rio Grande do Sul;Total;total_2016;9096.0;2016;total
Rio Grande do Sul;Total;branca_2017;7407.0;2017;branca
Rio Grande do Sul;Total;preta_parda_2017;1667.0;2017;preta_parda
Rio Grande do Sul;Total;total_2017;9103.0;2017;total
Rio Grande do Sul;Total;branca_2018;7317.0;2018;branca
Rio Grande do Sul;Total;preta_parda_2018;1786.0;2018;preta_parda
Rio Grande do Sul;Total;total_2018;9140.0;2018;total
Rio Grande do Sul;Total;branca_2019;7351.0;2019;branca
Rio Grande do Sul;Total;preta_parda_2019;1836.0;2019;preta_parda
Rio Grande do Sul;Total;total_2019;9247.0;2019;total
Rio Grande do Sul;Total;branca_2022;7386.0;2022;branca
Rio Grande do Sul;Total;preta_parda_2022;1883.0;2022;preta_parda
Rio Grande do Sul;Total;total_2022;9308.0;2022;total
Rio Grande do Sul;Total;branca_2023;7149.0;2023;branca
Rio Grande do Sul;Total;preta_parda_2023;2068.0;2023;preta_parda
Rio Grande do Sul;Total;total_2023;9256.0;2023;total
Rio de Janeiro;Total;branca_2016;6376.0;2016;branca
Rio de Janeiro;Total;preta_parda_2016;7566.0;2016;preta_parda
Rio de Janeiro;Total;total_2016;13982.0;2016;total
